annimal_name,index,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Common Name,Other Name(s),Group,Number Of Species,Location,Habitat,Colour,Skin Type,Size (L),Weight,Top Speed,Diet,Prey,Predators,Lifestyle,Group Behaviour,Lifespan,Age Of Sexual Maturity,Gestation Period,Average Litter Size,Name Of Young,Age Of Weaning,Conservation Status,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Fun Fact,Origin,Average Size (L),Average Weight,Average Lifespan,Type,Temperament,Training,Distinctive Features,Size (H),Wingspan,Incubation Period,Average Clutch Size,Age Of Fledgling,Average Size (H),Water Type,Average Spawn Size,Age Of Independence,Main Prey,Average Size,Optimum pH Level,Favourite Food,Special Features,Size,Extinct,Litter Size,Subfamily
Aardvark,1,Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,Aardvark,"Antbear, Earth Pig",Mammal,18,Sub-Saharan Africa,Sandy and clay soil,"Brown, grey, yellow",Hair,1.05m - 2.20m (3.4ft - 7.3ft),60kg - 80kg (130lbs - 180lbs),40kph (25mph),Omnivore,"Termites, Ants","Lions, Leopards, Hyenas",Nocturnal,Solitary,23 years,2 years,7 months,1,Cub,3 months,Least Concern,Unknown,Habitat loss,"Long, sticky tongue and rabbit-like ears",Can move up to 2ft of soil in just 15 seconds!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abyssinian,2,NA,NA,NA,NA,NA,NA,NA,Abyssinian,NA,Cat,NA,NA,NA,"Fawn, Red, Blue, Grey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,Egypt,60cm (2ft),4.5kg (10lbs),15 years,Shorthair,Intelligent and curious,Easy,Silky fur and almond shaped eyes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelie Penguin,3,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,Adelie Penguin,NA,Bird,1,Coastal Antarctica,Antarctic land and ocean,Black with white chest,Feathers,NA,3kg - 6kg (7lbs - 13lbs),72kph (45mph),Carnivore,"Krill, Fish, Squid","Leopard Seal, Skua Gull, Killer Whale",Diurnal,Colony,10 - 20 years,2 - 3 years,NA,NA,Chicks,NA,Least Concern,5 million,Rapid ice melt,Small white circle around each eye,Eats up to 2kg of food per day!,NA,NA,NA,NA,NA,NA,NA,NA,40cm - 75cm (16in - 30in),35cm - 70cm (14in - 27.5in),2 months,2,90 days,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Affenpinscher,4,NA,NA,NA,NA,NA,NA,NA,Affenpinscher,NA,Dog,NA,NA,NA,"Black, Grey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,Germany,NA,3.6kg (8lbs),12 years,Terrier,Alert and inquisitive,Medium,Dark wiry-haired body and dark eyes,NA,NA,NA,NA,NA,25cm (10in),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghan Hound,5,NA,NA,NA,NA,NA,NA,NA,Afghan Hound,NA,Dog,NA,NA,NA,"Black, White, Brown, Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,Afghanistan,NA,27kg (60lbs),14 years,Hound,Alert yet reserved and lively,Moderately Easy,Long fur and pointed muzzle,NA,NA,NA,NA,NA,68cm (27in),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
African Bush Elephant,6,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana africana,African Bush Elephant,African Elephant,Mammal,1,central and southern Africa,"Forest, savannah and flood plains","Grey, Brown",Leather,NA,"3,600kg - 5,400kg (7,900lbs - 12,000lbs)",40kph (25mph),Herbivore,"Grass, Fruit, Roots","Human, Lion, Hyena",Diurnal,Herd,60 - 70 years,11 - 20 years,20 - 24 months,1,Calf,6 - 18 months,Threatened,"300,000",Poaching and habitat loss,"Large, rounded ears",Can drink up to 50 gallons a day!,NA,NA,NA,NA,NA,NA,NA,NA,3m - 3.5m (10ft - 12ft),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
African Civet,7,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Civettictis,Civettictis civetta,African Civet,NA,Mammal,1,across sub-Saharan Africa,Tropical rainforest,"Black, White, Grey, Yellow, Brown, Tan",Fur,NA,1.4kg - 4.5kg (3lbs - 10lbs),NA,Omnivore,"Rodents, Snakes, Frogs","Lions, Snakes, Leopards",Nocturnal,Solitary,15 - 20 years,11 - 12 months,60 - 70 days,3,Pup,8 - 10 weeks,Least Concern,Abundant,Habitat loss,Black band around their eyes,Secretes up to 4g of musk every week!,NA,NA,NA,NA,NA,NA,NA,NA,43cm - 71cm (17in - 28in),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
African Clawed Frog,8,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,African Clawed Frog,Platanna,Amphibian,1,eastern and southern Africa,Warm stagnant water with grassland,"Brown, Grey, Albino",Permeable Scales,2.5cm - 12cm (1in - 5in),25g - 220g (1oz - 8oz),8km/h (5mph),Carnivore,"Small Fish, Insects, Spiders","Snakes, Birds, Small Mammals",Nocturnal,Solitary,8 - 15 years,10 -  12 months,NA,NA,Tadpole,NA,Least Concern,Abundant,Water pollution,Clawed front toes,A particularly ferocious amphibian!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 - 5 days,NA,NA,NA,Fresh,2000,5 days,NA,NA,NA,NA,NA,NA,NA,NA,NA
African Forest Elephant,9,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta cyclotis,African Forest Elephant,African Elephant,Mammal,1,central and southern Africa,"Forest, savannah and flood plains","Grey, Brown",Leather,NA,"900kg - 3,000kg (1,984lbs - 6,613lbs)",39km/h (24mph),Herbivore,"Grass, Fruit, Roots","Human, Lion, Hyena",Diurnal,Herd,60 - 70 years,11 - 20 years,22 - 24 months,1,Calf,5 years,Endangered,"200,000",Poaching and habitat loss,"Rounded ears and thin, straight tusks",The largest known mammal on land!,NA,NA,NA,NA,NA,NA,NA,NA,2m - 3m (6.6ft - 9.8ft),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
African Palm Civet,10,Animalia,Chordata,Mammalia,Carnivora,Nandiniidae,Nandinia,Nandinia binotata,African Palm Civet,Two-Spotted Palm Civet,Mammal,1,eastern Africa,Tropical rainforest,"Black, White, Grey, Yellow, Brown, Tan",Fur,NA,1.4kg - 4.5kg (3lbs - 10lbs),NA,Omnivore,"Rodents, Snakes, Frogs","Lions, Snakes, Leopards",Crepuscular,Solitary,15 - 20 years,2 - 3 years,64 days,2,Pup,2 months,Least Concern,Locally abundant,Habitat loss,"Snout with sharp, pointed teeth",Solitary but gathers in groups!,NA,NA,NA,NA,NA,NA,NA,NA,43cm - 71cm (17in - 28in),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
