Year,Value
1910,-0.38
1911,-0.57
1912,-0.24
1913,-0.11
1914,-0.07
1915,-0.05
1916,-0.46
1917,-0.53
1918,-0.68
1919,-0.15
1920,-0.43
1921,-0.46
1922,-0.19
1923,-0.41
1924,-0.13
1925,-0.33
1926,-0.04
1927,-0.12
1928,-0.07
1929,-0.30
1930,-0.21
1931,0.26
1932,-0.15
1933,-0.06
1934,-0.16
1935,-0.23
1936,-0.14
1937,0.01
1938,-0.10
1939,-0.16
1940,0.07
1941,0.36
1942,0.18
1943,-0.30
1944,-0.05
1945,-0.13
1946,-0.08
1947,0.12
1948,-0.28
1949,-0.04
1950,-0.33
1951,-0.15
1952,-0.01
1953,-0.19
1954,-0.29
1955,-0.11
1956,-0.37
1957,-0.15
1958,0.22
1959,-0.07
1960,0.09
1961,-0.17
1962,0.00
1963,0.07
1964,-0.25
1965,-0.24
1966,0.14
1967,-0.28
1968,-0.19
1969,0.36
1970,0.16
1971,-0.22
1972,0.02
1973,0.30
1974,-0.27
1975,-0.22
1976,-0.24
1977,0.17
1978,0.11
1979,0.38
1980,0.36
1981,0.13
1982,0.09
1983,0.44
1984,0.25
1985,0.25
1986,0.22
1987,0.79
1988,0.43
1989,0.06
1990,0.58
1991,0.30
1992,0.14
1993,0.42
1994,0.30
1995,0.58
1996,0.52
1997,0.51
1998,0.95
1999,0.70
2000,0.48
2001,0.71
2002,0.88
2003,0.94
2004,0.86
2005,1.07
2006,0.84
2007,0.84
2008,0.76
2009,1.02
2010,1.50
2011,0.84
2012,0.88
2013,0.99
2014,1.04
2015,1.26
2016,1.52
2017,1.20
2018,1.21
