Year,Value
1910,-0.49
1911,0.03
1912,-0.46
1913,-0.58
1914,0.08
1915,-0.06
1916,-1.35
1917,-1.14
1918,0.38
1919,-0.01
1920,-0.34
1921,-0.35
1922,0.03
1923,-0.39
1924,-0.47
1925,-0.24
1926,-0.07
1927,-0.05
1928,-0.25
1929,-0.20
1930,0.17
1931,-0.11
1932,-0.28
1933,-1.08
1934,0.17
1935,-0.33
1936,0.06
1937,0.33
1938,-0.16
1939,0.36
1940,0.30
1941,0.72
1942,-0.18
1943,0.30
1944,0.26
1945,0.14
1946,0.09
1947,-0.41
1948,0.03
1949,-0.15
1950,-0.21
1951,0.31
1952,0.21
1953,0.50
1954,0.09
1955,-0.32
1956,0.12
1957,0.71
1958,0.65
1959,0.66
1960,0.17
1961,0.04
1962,0.30
1963,0.32
1964,-0.36
1965,-0.18
1966,0.31
1967,0.11
1968,-0.12
1969,-0.33
1970,-0.08
1971,-0.55
1972,0.37
1973,-0.38
1974,-0.11
1975,-0.59
1976,0.17
1977,0.28
1978,0.41
1979,0.29
1980,-0.03
1981,0.09
1982,0.41
1983,0.31
1984,0.17
1985,0.06
1986,0.19
1987,0.10
1988,-0.65
1989,-0.07
1990,0.44
1991,-0.14
1992,0.44
1993,-0.07
1994,0.25
1995,-0.05
1996,-0.03
1997,1.14
1998,0.52
1999,-0.47
2000,0.27
2001,0.49
2002,0.19
2003,0.53
2004,0.36
2005,0.06
2006,0.47
2007,-0.05
2008,0.31
2009,0.92
2010,-0.22
2011,-0.27
2012,0.15
2013,0.38
2014,1.32
2015,1.49
2016,0.77
2017,0.75
2018,0.67
