Year,Value
1910,-0.50
1911,-0.95
1912,-0.28
1913,-0.15
1914,-0.06
1915,0.22
1916,-0.65
1917,-0.52
1918,-0.34
1919,-0.37
1920,-0.14
1921,-0.63
1922,-0.66
1923,-0.28
1924,-0.40
1925,-0.61
1926,0.40
1927,-0.22
1928,-0.24
1929,0.44
1930,-0.19
1931,0.11
1932,-0.68
1933,-0.93
1934,0.32
1935,-0.43
1936,0.36
1937,-0.09
1938,0.08
1939,-0.66
1940,0.98
1941,1.05
1942,0.24
1943,0.46
1944,-0.34
1945,0.30
1946,0.53
1947,-0.10
1948,0.43
1949,-0.48
1950,-0.57
1951,-0.07
1952,-0.35
1953,-0.12
1954,0.17
1955,-0.83
1956,-0.05
1957,0.01
1958,0.42
1959,0.50
1960,0.15
1961,0.27
1962,0.04
1963,0.06
1964,-0.03
1965,0.09
1966,0.33
1967,0.65
1968,0.87
1969,0.11
1970,0.19
1971,-0.45
1972,-0.03
1973,-0.12
1974,-0.03
1975,-0.98
1976,-0.51
1977,0.06
1978,0.08
1979,0.24
1980,0.30
1981,0.20
1982,0.36
1983,-0.37
1984,-0.06
1985,0.19
1986,0.76
1987,0.74
1988,0.34
1989,0.01
1990,0.50
1991,0.24
1992,0.48
1993,0.26
1994,0.45
1995,0.45
1996,0.69
1997,0.44
1998,-0.26
1999,-0.71
2000,-0.11
2001,-0.05
2002,0.01
2003,0.60
2004,0.61
2005,0.44
2006,0.31
2007,0.14
2008,-0.48
2009,0.17
2010,-0.19
2011,-0.44
2012,-0.55
2013,0.46
2014,0.58
2015,1.63
2016,1.14
2017,1.03
2018,1.16
