Year,Value
1910,-0.13
1911,-0.40
1912,-0.73
1913,-0.67
1914,-0.44
1915,0.14
1916,-0.70
1917,-1.30
1918,-0.68
1919,-0.60
1920,-0.45
1921,0.30
1922,-0.36
1923,-0.29
1924,-0.52
1925,-0.20
1926,0.02
1927,-0.33
1928,0.21
1929,-0.57
1930,0.09
1931,0.89
1932,-0.31
1933,-0.41
1934,0.37
1935,-0.33
1936,-0.45
1937,0.01
1938,0.56
1939,0.25
1940,0.35
1941,0.53
1942,0.32
1943,0.20
1944,0.50
1945,-0.09
1946,0.15
1947,0.04
1948,-0.18
1949,-0.05
1950,-0.62
1951,-0.49
1952,0.42
1953,0.71
1954,0.34
1955,-0.27
1956,-0.31
1957,0.13
1958,0.31
1959,-0.17
1960,0.08
1961,-0.13
1962,0.02
1963,0.19
1964,-0.36
1965,-0.42
1966,-0.41
1967,-0.21
1968,-0.16
1969,-0.08
1970,-0.28
1971,-0.30
1972,-0.93
1973,0.21
1974,-0.29
1975,-0.31
1976,-0.06
1977,0.55
1978,-0.21
1979,-0.28
1980,0.30
1981,1.12
1982,-0.58
1983,0.09
1984,0.10
1985,-0.18
1986,0.46
1987,1.13
1988,0.48
1989,-0.04
1990,0.31
1991,0.55
1992,0.15
1993,0.22
1994,0.40
1995,0.43
1996,-0.23
1997,0.45
1998,1.54
1999,1.09
2000,0.76
2001,1.19
2002,0.69
2003,0.87
2004,0.51
2005,1.23
2006,1.49
2007,0.82
2008,0.29
2009,0.40
2010,1.45
2011,0.92
2012,1.54
2013,0.53
2014,0.58
2015,1.39
2016,1.92
2017,1.49
2018,0.87
