animal_name,image_url,file_name
Aardvark,https://a-z-animals.com/media/animals/images/470x370/aardvark_1.jpg,aardvark_1.jpg
Abyssinian,https://a-z-animals.com/media/animals/images/470x370/abyssinian2.jpg,abyssinian2.jpg
Adelie Penguin,https://a-z-animals.com/media/animals/images/470x370/adelie_penguin2.jpg,adelie_penguin2.jpg
Affenpinscher,https://a-z-animals.com/media/animals/images/470x370/affenpinscher_dog.jpeg,affenpinscher_dog.jpeg
Afghan Hound,https://a-z-animals.com/media/animals/images/470x370/afghan_hound1.jpg,afghan_hound1.jpg
African Bush Elephant,https://a-z-animals.com/media/animals/images/470x370/african_bush_elephant1.jpg,african_bush_elephant1.jpg
African Civet,https://a-z-animals.com/media/animals/images/470x370/african_civet4.jpg,african_civet4.jpg
African Clawed Frog,https://a-z-animals.com/media/animals/images/470x370/african_clawed_frog7.jpg,african_clawed_frog7.jpg
African Forest Elephant,https://a-z-animals.com/media/animals/images/470x370/african_elephant.jpg,african_elephant.jpg
African Palm Civet,https://a-z-animals.com/media/animals/images/470x370/african_palm_civet.jpg,african_palm_civet.jpg
African Penguin,https://a-z-animals.com/media/animals/images/470x370/african_penguin3.jpg,african_penguin3.jpg
African Tree Toad,https://a-z-animals.com/media/animals/images/470x370/african_tree_toad.jpg,african_tree_toad.jpg
African Wild Dog,https://a-z-animals.com/media/animals/images/470x370/african_wild_dog4.jpg,african_wild_dog4.jpg
Ainu Dog,https://a-z-animals.com/media/animals/images/470x370/ainu_dog.jpg,ainu_dog.jpg
Airedale Terrier ,https://a-z-animals.com/media/animals/images/470x370/airedale_terrier.jpg,airedale_terrier.jpg
Akbash,https://a-z-animals.com/media/animals/images/470x370/akbash_dog1.jpg,akbash_dog1.jpg
Akita,https://a-z-animals.com/media/animals/images/470x370/akita_dog.jpg,akita_dog.jpg
Alaskan Malamute,https://a-z-animals.com/media/animals/images/470x370/alaskan_malamute6.jpg,alaskan_malamute6.jpg
Albatross,https://a-z-animals.com/media/animals/images/470x370/albatross3.jpg,albatross3.jpg
Aldabra Giant Tortoise,https://a-z-animals.com/media/animals/images/470x370/aldabra_giant_tortoise5.jpg,aldabra_giant_tortoise5.jpg
Alligator,https://a-z-animals.com/media/animals/images/470x370/alligator6.jpg,alligator6.jpg
