Year,Value
1910,-0.59
1911,-0.58
1912,-0.88
1913,-0.42
1914,0.05
1915,-0.27
1916,-0.56
1917,-0.40
1918,-0.47
1919,-0.51
1920,-0.38
1921,-0.04
1922,-0.21
1923,-0.26
1924,-0.13
1925,0.07
1926,-0.10
1927,-0.31
1928,-0.41
1929,-0.73
1930,-0.34
1931,-0.45
1932,0.16
1933,-0.65
1934,-0.27
1935,-0.18
1936,-0.20
1937,-0.27
1938,0.16
1939,0.24
1940,-0.06
1941,-0.20
1942,-0.13
1943,0.19
1944,0.21
1945,-0.34
1946,-0.05
1947,-0.14
1948,0.36
1949,-0.08
1950,-0.44
1951,0.04
1952,-0.39
1953,0.19
1954,-0.35
1955,-0.06
1956,-0.51
1957,-0.26
1958,-0.06
1959,0.05
1960,-0.23
1961,0.23
1962,0.38
1963,0.40
1964,-0.31
1965,-0.12
1966,-0.17
1967,0.15
1968,-0.21
1969,-0.77
1970,-0.05
1971,0.16
1972,-0.32
1973,0.43
1974,-0.24
1975,0.55
1976,-0.39
1977,0.11
1978,0.21
1979,0.20
1980,0.18
1981,0.64
1982,0.28
1983,0.70
1984,-0.17
1985,-0.01
1986,0.24
1987,-0.01
1988,0.76
1989,0.72
1990,0.94
1991,0.67
1992,0.27
1993,0.33
1994,0.55
1995,1.23
1996,0.32
1997,0.79
1998,0.85
1999,0.93
2000,0.77
2001,0.98
2002,1.24
2003,1.06
2004,1.13
2005,1.19
2006,0.98
2007,1.67
2008,1.37
2009,0.97
2010,1.05
2011,1.08
2012,0.88
2013,1.34
2014,1.02
2015,1.70
2016,1.59
2017,1.67
2018,1.32
