Year,Value
1910,-0.77
1911,-0.68
1912,-0.67
1913,-0.89
1914,-0.64
1915,0.44
1916,-0.32
1917,-0.56
1918,-0.36
1919,-0.43
1920,-0.76
1921,-0.60
1922,-0.69
1923,-0.84
1924,-0.50
1925,-0.43
1926,0.13
1927,0.08
1928,-0.24
1929,-0.38
1930,-0.29
1931,0.11
1932,0.30
1933,0.00
1934,-0.25
1935,-0.24
1936,0.17
1937,0.29
1938,-0.17
1939,-0.05
1940,0.58
1941,0.40
1942,0.23
1943,-0.01
1944,0.33
1945,1.32
1946,-0.16
1947,-0.39
1948,-0.07
1949,-0.13
1950,-0.12
1951,0.30
1952,0.28
1953,0.27
1954,-0.10
1955,0.29
1956,-0.11
1957,0.37
1958,0.66
1959,-0.10
1960,0.16
1961,0.21
1962,0.27
1963,0.33
1964,0.01
1965,-0.22
1966,0.06
1967,-0.21
1968,-0.15
1969,0.41
1970,0.08
1971,-0.37
1972,-0.44
1973,0.00
1974,-0.37
1975,-0.10
1976,0.09
1977,-0.09
1978,-0.04
1979,0.24
1980,0.43
1981,0.23
1982,-0.07
1983,0.26
1984,-0.15
1985,0.20
1986,-0.11
1987,0.68
1988,0.37
1989,0.56
1990,0.38
1991,-0.10
1992,0.03
1993,0.04
1994,-0.15
1995,0.73
1996,0.17
1997,0.29
1998,1.02
1999,0.50
2000,0.23
2001,0.49
2002,0.24
2003,0.74
2004,0.64
2005,1.03
2006,0.62
2007,0.24
2008,0.71
2009,0.60
2010,1.25
2011,0.84
2012,0.71
2013,0.72
2014,0.37
2015,0.64
2016,0.96
2017,1.08
2018,0.45
