Year,Value
1910,-0.73
1911,-0.49
1912,-0.56
1913,-0.95
1914,-0.55
1915,0.29
1916,-0.32
1917,-0.47
1918,-0.50
1919,-0.37
1920,-0.74
1921,-0.63
1922,-0.66
1923,-0.80
1924,-0.42
1925,-0.28
1926,0.00
1927,-0.13
1928,-0.26
1929,-0.58
1930,-0.22
1931,0.18
1932,0.29
1933,-0.11
1934,-0.21
1935,-0.15
1936,-0.06
1937,0.13
1938,-0.36
1939,-0.07
1940,0.44
1941,0.50
1942,0.02
1943,0.01
1944,0.38
1945,0.56
1946,-0.21
1947,-0.23
1948,0.00
1949,-0.14
1950,-0.16
1951,0.39
1952,0.45
1953,0.24
1954,0.18
1955,0.22
1956,0.06
1957,0.40
1958,0.64
1959,0.09
1960,0.29
1961,0.19
1962,0.41
1963,0.43
1964,0.16
1965,-0.18
1966,0.11
1967,-0.24
1968,0.13
1969,0.49
1970,0.13
1971,-0.23
1972,-0.37
1973,0.10
1974,-0.25
1975,-0.04
1976,-0.17
1977,-0.05
1978,0.02
1979,0.14
1980,0.36
1981,0.34
1982,-0.05
1983,0.35
1984,-0.32
1985,0.16
1986,-0.08
1987,0.58
1988,0.25
1989,0.17
1990,0.23
1991,0.22
1992,0.03
1993,0.14
1994,-0.18
1995,0.49
1996,-0.10
1997,0.25
1998,1.01
1999,0.71
2000,0.28
2001,0.49
2002,0.50
2003,0.39
2004,0.48
2005,1.07
2006,0.57
2007,0.46
2008,0.63
2009,0.45
2010,1.11
2011,0.86
2012,0.64
2013,0.51
2014,0.49
2015,0.69
2016,1.11
2017,1.00
2018,0.59
