Year,Value
1910,0.01
1911,-0.16
1912,-0.71
1913,-0.14
1914,-0.18
1915,-0.59
1916,-0.02
1917,-0.74
1918,-0.11
1919,-0.66
1920,0.05
1921,0.04
1922,-0.56
1923,-0.18
1924,-0.40
1925,-0.09
1926,0.02
1927,-0.13
1928,-0.24
1929,-0.68
1930,0.44
1931,-0.53
1932,-0.07
1933,-0.61
1934,0.68
1935,0.00
1936,0.30
1937,0.53
1938,0.51
1939,0.16
1940,-1.03
1941,-1.06
1942,-0.90
1943,0.36
1944,0.06
1945,0.07
1946,0.20
1947,0.07
1948,0.25
1949,0.45
1950,0.30
1951,0.21
1952,-0.10
1953,0.21
1954,-0.28
1955,-0.07
1956,-1.07
1957,0.24
1958,-0.03
1959,0.32
1960,0.25
1961,0.68
1962,-0.20
1963,-0.41
1964,-0.14
1965,-0.56
1966,0.26
1967,0.21
1968,-0.05
1969,-0.48
1970,-0.16
1971,-0.01
1972,0.00
1973,-0.04
1974,0.32
1975,0.58
1976,-0.46
1977,0.01
1978,-0.47
1979,-0.08
1980,-0.54
1981,0.04
1982,0.25
1983,0.46
1984,0.04
1985,-0.68
1986,-0.13
1987,-0.63
1988,0.29
1989,1.06
1990,1.03
1991,0.21
1992,0.45
1993,0.00
1994,0.85
1995,0.62
1996,-0.15
1997,0.48
1998,0.60
1999,1.07
2000,1.26
2001,0.87
2002,1.10
2003,0.90
2004,0.75
2005,0.78
2006,1.07
2007,1.38
2008,1.27
2009,1.07
2010,0.59
2011,1.22
2012,0.98
2013,1.04
2014,1.78
2015,1.71
2016,1.49
2017,1.39
2018,1.87
