Year,Value
1910,-0.51
1911,-0.26
1912,-0.35
1913,-0.71
1914,-0.16
1915,0.23
1916,-0.20
1917,-0.79
1918,-0.94
1919,-0.10
1920,-0.59
1921,-0.34
1922,-0.44
1923,-0.49
1924,0.11
1925,-0.11
1926,-0.15
1927,-0.05
1928,-0.14
1929,-0.57
1930,-0.29
1931,-0.58
1932,-0.19
1933,-0.39
1934,-0.12
1935,-0.08
1936,-0.27
1937,0.21
1938,-0.25
1939,-0.09
1940,0.40
1941,0.90
1942,0.44
1943,0.47
1944,0.23
1945,-0.07
1946,0.30
1947,-0.35
1948,0.04
1949,0.07
1950,-0.16
1951,0.45
1952,0.22
1953,0.50
1954,0.23
1955,0.10
1956,0.19
1957,0.41
1958,0.70
1959,-0.12
1960,0.30
1961,-0.03
1962,0.76
1963,0.11
1964,0.20
1965,-0.34
1966,0.07
1967,-0.40
1968,0.24
1969,0.32
1970,-0.14
1971,-0.43
1972,-0.28
1973,-0.24
1974,-0.10
1975,-0.28
1976,-0.09
1977,0.31
1978,0.13
1979,0.07
1980,0.20
1981,0.18
1982,0.33
1983,0.33
1984,-0.73
1985,-0.14
1986,-0.10
1987,0.25
1988,0.28
1989,-0.05
1990,0.41
1991,0.36
1992,-0.19
1993,0.38
1994,-0.48
1995,0.26
1996,-0.13
1997,0.56
1998,0.84
1999,0.64
2000,0.24
2001,0.31
2002,0.35
2003,0.39
2004,0.47
2005,0.72
2006,0.58
2007,0.50
2008,0.01
2009,0.64
2010,0.90
2011,0.95
2012,0.41
2013,0.12
2014,0.57
2015,0.79
2016,1.00
2017,0.61
2018,0.60
