Year,Value
1910,-0.28
1911,-0.47
1912,-0.05
1913,-0.60
1914,0.28
1915,0.20
1916,-0.28
1917,-0.89
1918,-0.44
1919,0.01
1920,-0.42
1921,-0.08
1922,-0.28
1923,-0.23
1924,-0.47
1925,-0.63
1926,-0.11
1927,-0.33
1928,0.16
1929,-0.61
1930,-0.16
1931,-0.41
1932,-0.28
1933,-0.33
1934,-0.22
1935,-0.28
1936,-0.03
1937,-0.19
1938,0.31
1939,-0.38
1940,-0.12
1941,-0.25
1942,0.16
1943,-0.40
1944,-0.20
1945,-0.12
1946,-0.45
1947,-0.21
1948,-0.35
1949,-0.74
1950,-0.39
1951,-0.18
1952,-0.23
1953,-0.21
1954,-0.17
1955,-0.17
1956,-0.57
1957,0.12
1958,0.28
1959,0.35
1960,-0.31
1961,0.19
1962,0.11
1963,-0.03
1964,-0.03
1965,0.21
1966,-0.26
1967,-0.05
1968,-0.14
1969,0.20
1970,0.15
1971,0.03
1972,0.29
1973,0.70
1974,-0.28
1975,0.11
1976,-0.35
1977,0.21
1978,0.09
1979,0.53
1980,0.75
1981,0.48
1982,0.24
1983,0.56
1984,-0.08
1985,0.40
1986,0.44
1987,0.38
1988,0.88
1989,0.27
1990,0.65
1991,0.66
1992,0.31
1993,0.46
1994,0.33
1995,0.33
1996,0.63
1997,0.44
1998,1.05
1999,0.53
2000,0.25
2001,0.36
2002,0.83
2003,0.82
2004,0.62
2005,1.12
2006,0.62
2007,0.79
2008,0.57
2009,1.00
2010,0.59
2011,0.21
2012,0.42
2013,1.33
2014,1.09
2015,1.06
2016,1.19
2017,1.12
2018,1.14
