Year,Value
1910,-0.43
1911,-0.57
1912,-0.25
1913,-0.16
1914,-0.19
1915,-0.18
1916,-0.59
1917,-0.87
1918,-0.65
1919,-0.30
1920,-0.47
1921,-0.62
1922,-0.58
1923,-0.59
1924,-0.70
1925,-0.43
1926,-0.19
1927,-0.38
1928,-0.43
1929,-0.42
1930,-0.21
1931,-0.34
1932,-0.10
1933,-0.39
1934,-0.45
1935,-0.23
1936,-0.15
1937,-0.10
1938,-0.30
1939,-0.08
1940,0.05
1941,0.10
1942,-0.14
1943,-0.19
1944,0.12
1945,0.07
1946,-0.05
1947,-0.11
1948,-0.01
1949,-0.16
1950,-0.21
1951,-0.02
1952,0.00
1953,0.18
1954,-0.16
1955,-0.34
1956,-0.48
1957,0.05
1958,0.28
1959,0.07
1960,-0.01
1961,0.18
1962,-0.06
1963,0.19
1964,-0.14
1965,0.13
1966,0.07
1967,0.09
1968,-0.06
1969,0.45
1970,0.24
1971,-0.16
1972,0.23
1973,0.24
1974,-0.13
1975,-0.01
1976,-0.09
1977,0.41
1978,0.24
1979,0.23
1980,0.41
1981,0.27
1982,0.39
1983,0.56
1984,0.17
1985,0.27
1986,0.41
1987,0.71
1988,0.35
1989,0.27
1990,0.45
1991,0.50
1992,0.36
1993,0.49
1994,0.66
1995,0.68
1996,0.49
1997,0.85
1998,1.04
1999,0.47
2000,0.41
2001,0.73
2002,0.91
2003,0.87
2004,0.79
2005,0.89
2006,0.89
2007,0.69
2008,0.76
2009,0.99
2010,0.97
2011,0.79
2012,1.01
2013,0.91
2014,1.12
2015,1.48
2016,1.22
2017,1.26
2018,1.04
