Year,Value
1880,-0.05
1881,-0.01
1882,-0.02
1883,-0.05
1884,-0.15
1885,-0.22
1886,-0.20
1887,-0.27
1888,-0.13
1889,-0.04
1890,-0.28
1891,-0.21
1892,-0.18
1893,-0.17
1894,-0.23
1895,-0.17
1896,-0.02
1897,-0.04
1898,-0.27
1899,-0.14
1900,-0.07
1901,-0.20
1902,-0.23
1903,-0.36
1904,-0.42
1905,-0.22
1906,-0.19
1907,-0.27
1908,-0.40
1909,-0.43
1910,-0.40
1911,-0.45
1912,-0.21
1913,-0.23
1914,-0.08
1915,-0.10
1916,-0.27
1917,-0.32
1918,-0.21
1919,-0.17
1920,-0.16
1921,-0.21
1922,-0.25
1923,-0.25
1924,-0.31
1925,-0.25
1926,-0.16
1927,-0.22
1928,-0.22
1929,-0.33
1930,-0.22
1931,-0.17
1932,-0.20
1933,-0.27
1934,-0.18
1935,-0.23
1936,-0.22
1937,-0.13
1938,-0.14
1939,-0.08
1940,0.15
1941,0.28
1942,0.07
1943,0.05
1944,0.26
1945,0.21
1946,-0.10
1947,-0.12
1948,-0.15
1949,-0.14
1950,-0.15
1951,-0.11
1952,0.01
1953,0.02
1954,-0.20
1955,-0.23
1956,-0.18
1957,0.07
1958,0.05
1959,0.02
1960,-0.01
1961,0.07
1962,0.06
1963,0.03
1964,-0.14
1965,-0.02
1966,-0.06
1967,-0.07
1968,-0.04
1969,0.21
1970,0.12
1971,-0.01
1972,0.23
1973,0.27
1974,0.05
1975,0.05
1976,0.06
1977,0.29
1978,0.18
1979,0.33
1980,0.37
1981,0.29
1982,0.30
1983,0.45
1984,0.30
1985,0.31
1986,0.32
1987,0.48
1988,0.41
1989,0.31
1990,0.41
1991,0.39
1992,0.34
1993,0.36
1994,0.32
1995,0.37
1996,0.37
1997,0.50
1998,0.60
1999,0.37
2000,0.35
2001,0.50
2002,0.57
2003,0.54
2004,0.49
2005,0.52
2006,0.50
2007,0.45
2008,0.43
2009,0.59
2010,0.58
2011,0.46
2012,0.52
2013,0.57
2014,0.60
2015,0.73
2016,0.78
2017,0.70
2018,0.67
