index,Common Name,Endangered Animals of Area,Scientific Name:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:,Other Names and/or Listed subspecies:
1,African Lion,Endangered Mammals of Asia,Panthera leo,Mammals,VU-IUCN: 2008,"Africa, Asia",NA
2,Agile Gibbon,Endangered Mammals of Asia,Hylobates agilis,Mammals,"EN-IUCN: 2008EN-US FWS: June 2, 1970","Indonesia (Kalimantan, Sumatra), Malay Peninsula, Thailand","Also called Black-handed Gibbon or Dark-handed Gibbon. 3 subspecies endangered: Mountain Agile Gibbon (H. a. agilis), Bornean White-bearded Gibbon (H. a. albibarbis or H. albibarbis), Lowland Agile Gibbon (H. a. unko)"
3,Alpine Woolly Rat,Endangered Mammals of Asia,Mallomys gunung,Mammals,EN-IUCN: 2008,Indonesia,NA
4,Altai Weasel,Endangered Mammals of Asia,Mustela altaica,Mammals,NT-IUCN: 2008,"Bhutan, China, India, Kazakhstan, Kyrgyzstan, Mongolia, Pakistan, Russia, Tajikistan","Mountain Weasel, Pale Weasel"
5,Amami Spiny Rat,Endangered Mammals of Asia,Tokudaia osimensis,Mammals,EN-IUCN: 2008,Japan,Ryukyu Spiny Rat
6,Andaman Horseshoe Bat,Endangered Mammals of Asia,Rhinolophus cognatus,Mammals,EN-IUCN: 2008,India,Rhinolophus famulus
7,Andaman Rat,Endangered Mammals of Asia,Rattus stoicus,Mammals,VU-IUCN: 2008,India,"Mus rogersi, Mus stoicus, Mus taciturnus, Rattus rogersi"
8,Andaman White-toothed Shrew,Endangered Mammals of Asia,Crocidura andamanensis,Mammals,CR-IUCN: 2008,India,NA
9,Anderson's Squirrel,Endangered Mammals of Asia,Callosciurus quinquestriatus,Mammals,NT-IUCN: 2008,"China, Myanmar",NA
10,Anhui Musk Deer,Endangered Mammals of Asia,Moschus anhuiensis,Mammals,"EN-IUCN: 2008EN-US FWS: June 14, 1976",China,NA
11,Arabian Gazelle,Endangered Mammals of Asia,Gazella gazella,Mammals,"EN-US FWS: June 25, 1979VU-IUCN: 2008","Arabian Peninsula, Palestine, Sinai","Mountain Gazelle, Idmi"
12,Arabian Oryx,Endangered Mammals of Asia,Oryx leucoryx,Mammals,"VU-IUCN: 2011EN-US FWS: June 2, 1970",Arabian Peninsula,White Oryx
13,Arabian Tahr,Endangered Mammals of Asia,Hemitragus jayakari,Mammals,"EN-US FWS: June 25, 1979EN-IUCN: 2008",Oman,Arabitragus jayakari
14,Arfak Ringtail,Endangered Mammals of Asia,Pseudochirulus schlegeli,Mammals,VU-IUCN: 2008,Indonesia,Vogelkop Ringtail Possum
15,Argali,Endangered Mammals of Asia,Ovis ammon,Mammals,"NT-IUCN: 2008EN-US FWS: June 14, 1976","Afghanistan, China, India, Kazakhstan, Nepal, Pakistan, Russia, Uzbekistan",NA
16,Armenian Birch Mouse,Endangered Mammals of Asia,Sicista armenica,Mammals,EN-IUCN: 2008,Armenia,NA
17,Armenian Myotis,Endangered Mammals of Asia,Myotis hajastanicus,Mammals,CR-IUCN: 2008,Armenia,"Armenian Whiskered Bat, Hajastan Myotis"
18,Aru Flying Fox,Endangered Mammals of Asia,Pteropus aruensis,Mammals,CR-IUCN: 2008,Indonesia,NA
19,Arunachal Macaque,Endangered Mammals of Asia,Macaca munzala,Mammals,EN-IUCN: 2008,India,NA
20,Asia Minor Ground Squirrel,Endangered Mammals of Asia,Spermophilus xanthoprymnus,Mammals,NT-IUCN: 2008,"Armenia, Iran, Turkey",NA
21,Asian Elephant,Endangered Mammals of Asia,Elephas maximus,Mammals,"EN-US FWS: June 14, 1976EN-IUCN: 2008",South-Central and Southeastern Asia,Indian Elephant
22,Asian Golden Cat,Endangered Mammals of Asia,Catopuma temminckii,Mammals,"EN-US FWS: June 14, 1976NT-IUCN: 2008","China, Indonesia (Sumatra), Nepal, Southeast Asia","Temminck's Golden Cat, Asiatic Golden Cat, Felis temmincki, Profelis temminckii"
23,Asian Leopard Cat,Endangered Mammals of Asia,Prionailurus bengalensis,Mammals,"EN-US FWS: P. b. bengalensis - June 14, 1976, P. b. iriomotensis - June 25, 1979","India, Japan (Iriomote Island, Ryukyu Islands), Southeast Asia","2 subspecies endangered: Indian Leopard Cat (Prionailurus bengalensis bengalensis or Felis bengalensis bengalensis), Iriomote Cat (Prionailurus bengalensis iriomotensis or Felis bengalensis iriomotensis)"
24,Asian Small-clawed Otter,Endangered Mammals of Asia,Aonyx cinerea,Mammals,VU-IUCN: 2008,Asia,Oriental Small-clawed Otter
25,Asian Tapir,Endangered Mammals of Asia,Tapirus indicus,Mammals,"EN-US FWS: June 14, 1976EN-IUCN: 2008","Burma, Cambodia, Indonesia, Laos, Malaysia, Thailand, Vietnam","Malayan Tapir, Indian Tapir"
26,Asian Wild Ass,Endangered Mammals of Asia,Equus hemionus,Mammals,"EN-IUCN: 2008EN-US FWS: June 2, 1970","China, India, Iran, Mongolia, Turkmenistan","Onager, Equus spp."
27,Asiatic Black Bear,Endangered Mammals of Asia,Ursus thibetanus,Mammals,"VU-IUCN: 2008EN-US FWS: May 16, 1986","Afghanistan, Bangladesh, Bhutan, Cambodia, China, India, Iran, Japan, Korea, Laos, Myanmar, Nepal, Pakistan, Russia, Taiwan, Thailand, Vietnam","Tibetan Black Bear, Himalayan Black Bear, Moon Bear, Selenarctos thibetanus gedrosianus, Baluchistan Bear - U. t. gedrosianus (US FWS)"
28,Asiatic Lion,Endangered Mammals of Asia,Panthera leo persica,Mammals,"EN-US FWS: June 2, 1970",Turkey to India,NA
29,Asiatic Short-tailed Shrew,Endangered Mammals of Asia,Blarinella quadraticauda,Mammals,NT-IUCN: 2008,China,"Northern Short-tailed Shrew, Sichuan Short-tailed Shrew"
30,Assam Macaque,Endangered Mammals of Asia,Macaca assamensis,Mammals,NT-IUCN: 2008,"Bangladesh, Bhutan, China, India, Laos, Myanmar, Nepal, Thailand, Vietnam","M. coolidgei, M. macclellandii, M. problematicus, M. rhesosimilis, M. sikimensis, Assamese Macaque"
31,Australian Snubfin Dolphin,Endangered Mammals of Asia,Orcaella heinsohni,Mammals,NT-IUCN: 2008,"Australia, Indonesia, Papua New Guinea",NA
32,Babirusa,Endangered Mammals of Asia,Babyrousa babyrussa,Mammals,"VU-IUCN: 2008EN-US FWS: June 14, 1976",Indonesia,"Buru Babirusa, Hairy Babirusa, Babiroussa, Babirusa, Buru Babirusa, Deer Hog, Deer-pig"
33,Bactrian Camel,Endangered Mammals of Asia,Camelus bactrianus,Mammals,"CR-IUCN: 2008EN-US FWS: June 14, 1976","China, Mongolia",Camelus ferus (IUCN)
34,Balabac Mouse Deer,Endangered Mammals of Asia,Tragulus nigricans,Mammals,EN-IUCN: 2008,Philippines,"Tragulus napu ssp. nigricans, Balabac Chevrotain, Philippine Mouse-deer"
35,Baluchistan Forest Dormouse,Endangered Mammals of Asia,Dryomys niethammeri,Mammals,VU-IUCN: 2008,Pakistan,Niethammer's Forest Dormouse
36,Banded Palm Civit,Endangered Mammals of Asia,Hemigalus derbyanus,Mammals,NT-IUCN: 2015,"Brunei Darussalam, Indonesia, Malaysia, Myanmar, Thailand",NA
37,Banded Surili,Endangered Mammals of Asia,Presbytis femoralis,Mammals,NT-IUCN: 2008,"Indonesia, Malaysia, Myanmar, Singapore, Thailand","Banded Langur, Banded Leaf Monkey, P. australis, P. keatii, P. neglectus"
38,Banteng,Endangered Mammals of Asia,Bos javanicus,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Southeast Asia,"Tembadau, Bos birmanicus, Bos lowi"
39,Barbary Sheep,Endangered Mammals of Asia,Ammotragus lervia,Mammals,VU-IUCN: 2008,"Africa, Middle East","Aoudad, Uaddan"
40,Bare-backed Rousette,Endangered Mammals of Asia,Rousettus spinalatus,Mammals,VU-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia",NA
41,Beccari's Margareta Rat,Endangered Mammals of Asia,Margaretamys beccarii,Mammals,VU-IUCN: 2008,Indonesia,Spiny Lowland Margaretamys
42,Bechstein's Bat,Endangered Mammals of Asia,Myotis bechsteinii,Mammals,NT-IUCN: 2008,"Asia, Europe, Middle East",Bechstein's Myotis
43,Beluga,Endangered Mammals of Asia,Delphinapterus leucas,Mammals,NT-IUCN: 2008,"Asia, Europe, North America (including United States), Oceanic",White Whale
44,Bengal Slow Loris,Endangered Mammals of Asia,Nycticebus bengalensis,Mammals,VU-IUCN: 2008,"Bangladesh, Cambodia, China, India, Laos, Myanmar, Thailand, Vietnam","Northern Slow Loris, N. cinereus, N. incanus, N. tenasserimensis"
45,Bhutan Giant Flying Squirrel,Endangered Mammals of Asia,Petaurista nobilis,Mammals,NT-IUCN: 2009,"Bhutan, India, Nepal","Gray's Giant Flying Squirrel, Noble Giant Flying Squirrel, Sciuropterus chrysothrix, Sciuropterus nobilis"
46,Biak Giant Rat,Endangered Mammals of Asia,Uromys boeadii,Mammals,CR-IUCN: 2008,Indonesia,NA
47,Birdlike Noctule,Endangered Mammals of Asia,Nyctalus aviator,Mammals,NT-IUCN: 2008,"China, Japan, Korea","Nyctalus molossus, Japanese Large Noctule"
48,Black Crested Gibbon,Endangered Mammals of Asia,Nomascus concolor,Mammals,"CR-IUCN: 2008EN-US FWS: June 2, 1970","China (Yunnan), Laos, Vietnam","Hylobates concolor (formerly). 4 subspecies endangered: Tonkin Black Crested Gibbon (N. c. concolor), Laotian Black Crested Gibbon (N. c. lu), Central Yunnan Black Crested Gibbon (N.c. jingdongensis), West Yunnan Black Crested Gibbon (N. c. furvogaster)"
49,Black Finless Porpoise,Endangered Mammals of Asia,Neophocaena phocaenoides,Mammals,VU-IUCN: 2008,"Asia, Middle East",Finless Black Porpoise
50,Black Giant Squirrel,Endangered Mammals of Asia,Ratufa bicolor,Mammals,NT-IUCN: 2008,"Bangladesh, Bhutan, Cambodia, China, India, Indonesia, Laos, Malaysia, Myanmar, Nepal, Thailand, Vietnam",Malayan Giant Squirrel
51,Black Musk Deer,Endangered Mammals of Asia,Moschus fuscus,Mammals,"EN-US FWS: June 14, 1976EN-IUCN: 2008","Bhutan, China, India, Nepal",Dusky Musk Deer
52,Black-bearded Flying Fox,Endangered Mammals of Asia,Pteropus melanopogon,Mammals,EN-IUCN: 2008,Indonesia,NA
53,Black-footed Gray Langur,Endangered Mammals of Asia,Semnopithecus hypoleucos,Mammals,VU-IUCN: 2008,India,"Semnopithecus aeneas, Dark-legged Malabar Langur, Malabar Sacred Langur"
54,Black-spotted Cuscus,Endangered Mammals of Asia,Spilocuscus rufoniger,Mammals,CR-IUCN: 2008,"Indonesia, Papua New Guinea",NA
55,Black-striped Squirrel,Endangered Mammals of Asia,Callosciurus nigrovittatus,Mammals,NT-IUCN: 2008,"Indonesia, Malaysia, Thailand",NA
56,Blackbuck,Endangered Mammals of Asia,Antilope cervicapra,Mammals,NT-IUCN: 2008,"Argentina, India, United States",Indian Antelope
57,Blue-eyed Cuscus,Endangered Mammals of Asia,Phalanger matabiru,Mammals,VU-IUCN: 2008,Indonesia,NA
58,Blue-eyed Spotted Cuscus,Endangered Mammals of Asia,Spilocuscus wilsoni,Mammals,CR-IUCN: 2008,Indonesia,Biak Spotted Cuscus
