Country.Name,Country.Code,Year,Value
East Asia & Pacific,EAS,1960,1042016962
East Asia & Pacific,EAS,1961,1045307974
East Asia & Pacific,EAS,1962,1059467033
East Asia & Pacific,EAS,1963,1084916211
East Asia & Pacific,EAS,1964,1109997197
East Asia & Pacific,EAS,1965,1136131881
East Asia & Pacific,EAS,1966,1165700563
East Asia & Pacific,EAS,1967,1194329626
East Asia & Pacific,EAS,1968,1223381452
East Asia & Pacific,EAS,1969,1255964340
East Asia & Pacific,EAS,1970,1288580672
East Asia & Pacific,EAS,1971,1322181844
East Asia & Pacific,EAS,1972,1354002849
East Asia & Pacific,EAS,1973,1384272287
East Asia & Pacific,EAS,1974,1414384540
East Asia & Pacific,EAS,1975,1441541935
East Asia & Pacific,EAS,1976,1465814651
East Asia & Pacific,EAS,1977,1488757160
East Asia & Pacific,EAS,1978,1511580462
East Asia & Pacific,EAS,1979,1534795624
East Asia & Pacific,EAS,1980,1557506468
East Asia & Pacific,EAS,1981,1580901245
East Asia & Pacific,EAS,1982,1606486447
East Asia & Pacific,EAS,1983,1632005817
East Asia & Pacific,EAS,1984,1656292670
East Asia & Pacific,EAS,1985,1681267479
East Asia & Pacific,EAS,1986,1707960613
East Asia & Pacific,EAS,1987,1736144967
East Asia & Pacific,EAS,1988,1764605492
East Asia & Pacific,EAS,1989,1792425355
East Asia & Pacific,EAS,1990,1819288343
East Asia & Pacific,EAS,1991,1845101737
East Asia & Pacific,EAS,1992,1869217918
East Asia & Pacific,EAS,1993,1892440716
East Asia & Pacific,EAS,1994,1915670711
East Asia & Pacific,EAS,1995,1938715324
East Asia & Pacific,EAS,1996,1961419043
East Asia & Pacific,EAS,1997,1983653425
East Asia & Pacific,EAS,1998,2005143552
East Asia & Pacific,EAS,1999,2025300644
East Asia & Pacific,EAS,2000,2044496088
East Asia & Pacific,EAS,2001,2063002418
East Asia & Pacific,EAS,2002,2080534724
East Asia & Pacific,EAS,2003,2097265008
East Asia & Pacific,EAS,2004,2113465324
East Asia & Pacific,EAS,2005,2129445086
East Asia & Pacific,EAS,2006,2145245494
East Asia & Pacific,EAS,2007,2160431752
East Asia & Pacific,EAS,2008,2175832008
East Asia & Pacific,EAS,2009,2190811045
East Asia & Pacific,EAS,2010,2205614879
East Asia & Pacific,EAS,2011,2220357890
East Asia & Pacific,EAS,2012,2235430359
East Asia & Pacific,EAS,2013,2250552199
East Asia & Pacific,EAS,2014,2265898057
East Asia & Pacific,EAS,2015,2281203360
East Asia & Pacific,EAS,2016,2296786207
Europe & Central Asia,ECS,1960,667246384
Europe & Central Asia,ECS,1961,674972972
Europe & Central Asia,ECS,1962,682938669
Europe & Central Asia,ECS,1963,690962675
Europe & Central Asia,ECS,1964,698905664
Europe & Central Asia,ECS,1965,706609007
Europe & Central Asia,ECS,1966,713341112
Europe & Central Asia,ECS,1967,719879789
Europe & Central Asia,ECS,1968,726161895
Europe & Central Asia,ECS,1969,732317863
Europe & Central Asia,ECS,1970,737948178
Europe & Central Asia,ECS,1971,743607439
Europe & Central Asia,ECS,1972,749815857
Europe & Central Asia,ECS,1973,755867961
Europe & Central Asia,ECS,1974,761701324
Europe & Central Asia,ECS,1975,767332578
Europe & Central Asia,ECS,1976,772838318
Europe & Central Asia,ECS,1977,778094845
Europe & Central Asia,ECS,1978,783298994
