index,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
1,Cephalophus spadix,Minde,Mammals,EN-IUCN: 2008,Tanzania
2,Surdisorex norae,Aberdare Shrew,Mammals,VU-IUCN: 2008,Kenya
3,Addax nasomaculatus,NA,Mammals,"CR-IUCN: 2008EN-US FWS: September 2, 2005",North Africa
4,Cephalophus adersi,NA,Mammals,CR-IUCN: 2008,"Kenya, Tanzania"
5,Hipposideros marisae,NA,Mammals,VU-IUCN: 2008,"Cote d'Ivoire, Guinea, Liberia"
6,Loxodonta africana,Loxodonta cyclotis,Mammals,NT-IUCN: 2008,Africa
7,Caracal aurata,Profelis aurata,Mammals,NT-IUCN: 2008,Africa
8,Panthera leo,NA,Mammals,VU-IUCN: 2008,"Africa, Asia"
9,Phataginus tricuspis,"Manis tricuspis, Three-cusped Pangolin, Tree Pangolin",Mammals,NT-IUCN: 2008,"Angola, Benin, Cameroon, Central African Republic, Cote d'Ivoire, Democratic Republic of Congo (Zaire), Equatorial Guinea, Gabon, Ghana, Kenya, Liberia, Nigeria, Republic of Congo, Rwanda, Sierra Leone, Sudan, Tanzania, Togo, Uganda, Zambia"
10,Equus africanus,"Nubian Wild Ass (Equus africanus africanus), Somali Wild Ass (Equus africanus somaliensis)",Mammals,"EN-US FWS: June 14, 1976CR-IUCN: 2008","Ethiopia, Somalia, Sudan"
11,Lycaon pictus,"Cape Hunting Dog, African Painted Wolf, Painted Hunting Dog",Mammals,"EN-US FWS: January 23, 1984EN-IUCN: 2008",Sub-saharan Africa
12,Hapalemur alaotrensis,"Bandro, Lac Alaotra Bamboo Lemur",Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008",Malagasy Republic (Madagascar)
13,Pteropus aldabrensis,Pteropus seychellensis ssp. aldabrensis,Mammals,VU-IUCN: 2008,Indian Ocean (Seychelles)
14,Crocidura hispida,NA,Mammals,VU-IUCN: 2008,"Cote d'Ivoire, Ghana, Guinea, Nigeria"
15,Epomophorus angolensis,NA,Mammals,NT-IUCN: 2008,"Angola, Namibia"
16,Lepilemur ankaranensis,NA,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Madagascar
17,Crocidura ansellorum,NA,Mammals,EN-IUCN: 2008,Zambia
18,Lepilemur aeeclis,NA,Mammals,"EN-US FWS: June 2, 1970",Malagasy Republic (Madagascar)
19,Limnogale mergulus,NA,Mammals,VU-IUCN: 2008,Madagascar
20,Carpitalpa arendsi,NA,Mammals,VU-IUCN: 2008,"Mozambique, Zimbabwe"
21,Sylvisorex morio,Mt. Cameroon Forest Shrew,Mammals,EN-IUCN: 2008,"Cameroon, Kenya"
