index,Common Name,Endangered Animals of Area,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
1,Altai Weasel,Endangered Mammals of the Middle East,Mustela altaica,"Mountain Weasel, Pale Weasel",Mammals,NT-IUCN: 2008,"Bhutan, China, India, Kazakhstan, Kyrgyzstan, Mongolia, Pakistan, Russia, Tajikistan"
2,Arabian Gazelle,Endangered Mammals of the Middle East,Gazella gazella,"Mountain Gazelle, Idmi",Mammals,"EN-US FWS: June 25, 1979VU-IUCN: 2008","Arabian Peninsula, Palestine, Sinai"
3,Arabian Oryx,Endangered Mammals of the Middle East,Oryx leucoryx,White Oryx,Mammals,"VU-IUCN: 2011EN-US FWS: June 2, 1970",Arabian Peninsula
4,Arabian Tahr,Endangered Mammals of the Middle East,Hemitragus jayakari,Arabitragus jayakari,Mammals,"EN-US FWS: June 25, 1979EN-IUCN: 2008",Oman
5,Argali,Endangered Mammals of the Middle East,Ovis ammon,NA,Mammals,"NT-IUCN: 2008EN-US FWS: June 14, 1976","Afghanistan, China, India, Kazakhstan, Nepal, Pakistan, Russia, Uzbekistan"
6,Asia Minor Ground Squirrel,Endangered Mammals of the Middle East,Spermophilus xanthoprymnus,NA,Mammals,NT-IUCN: 2008,"Armenia, Iran, Turkey"
7,Asian Wild Ass,Endangered Mammals of the Middle East,Equus hemionus,"Onager, Equus spp.",Mammals,"EN-IUCN: 2008EN-US FWS: June 2, 1970","China, India, Iran, Mongolia, Turkmenistan"
8,Asiatic Black Bear,Endangered Mammals of the Middle East,Ursus thibetanus,"Tibetan Black Bear, Himalayan Black Bear, Moon Bear, Selenarctos thibetanus gedrosianus, Baluchistan Bear - U. t. gedrosianus (US FWS)",Mammals,"VU-IUCN: 2008EN-US FWS: May 16, 1986","Afghanistan, Bangladesh, Bhutan, Cambodia, China, India, Iran, Japan, Korea, Laos, Myanmar, Nepal, Pakistan, Russia, Taiwan, Thailand, Vietnam"
9,Asiatic Lion,Endangered Mammals of the Middle East,Panthera leo persica,NA,Mammals,"EN-US FWS: June 2, 1970",Turkey to India
10,Baluchistan Forest Dormouse,Endangered Mammals of the Middle East,Dryomys niethammeri,Niethammer's Forest Dormouse,Mammals,VU-IUCN: 2008,Pakistan
11,Barbary Sheep,Endangered Mammals of the Middle East,Ammotragus lervia,"Aoudad, Uaddan",Mammals,VU-IUCN: 2008,"Africa, Middle East"
12,Bechstein's Bat,Endangered Mammals of the Middle East,Myotis bechsteinii,Bechstein's Myotis,Mammals,NT-IUCN: 2008,"Asia, Europe, Middle East"
13,Black Finless Porpoise,Endangered Mammals of the Middle East,Neophocaena phocaenoides,Finless Black Porpoise,Mammals,VU-IUCN: 2008,"Asia, Middle East"
14,Brandt's Hamster,Endangered Mammals of the Middle East,Mesocricetus brandti,Mesocricetus koenigi,Mammals,NT-IUCN: 2008,"Armenia, Azerbaijan, Georgia (Eurasia), Iran, Russia, Turkey"
15,Bunn's Short-tailed Bandicoot Rat,Endangered Mammals of the Middle East,Nesokia bunnii,NA,Mammals,EN-IUCN: 2008,Iraq
16,Burrowing Vole,Endangered Mammals of the Middle East,Hyperacrius fertilis,True's Vole,Mammals,NT-IUCN: 2009,"India, Pakistan"
17,Buxton's Jird,Endangered Mammals of the Middle East,Meriones sacramenti,NA,Mammals,VU-IUCN: 2008,"Egypt, Israel, Palestine"
18,Caspian Seal,Endangered Mammals of the Middle East,Pusa caspica,Phoca caspica,Mammals,EN-IUCN: 2008,"Azerbaijan, Iran, Kazakhstan, Russia, Turkmenistan"
19,Central Kashmir Vole,Endangered Mammals of the Middle East,Alticola montosa,True's Vole,Mammals,VU-IUCN: 2008,"India, Pakistan"
20,Cheetah,Endangered Mammals of the Middle East,Acinonyx jubatus,NA,Mammals,"EN-US FWS: June 2, 1970VU-IUCN: 2008",Africa to India
21,Common Bentwing Bat,Endangered Mammals of the Middle East,Miniopterus schreibersii,"Schreiber's Bent-winged Bat, Schreiber's Long-fingered Bat",Mammals,NT-IUCN: 2008,"Africa, Asia, Europe, Middle East"
22,Cyprian Wild Sheep,Endangered Mammals of the Middle East,Ovis orientalis,"Ovis vignei, Urial, Cyprus Mouflon, Red Sheep",Mammals,VU-IUCN: 2008,"Afghanistan, Armenia, Azerbaijan, India, Iran, Kazakhstan, Oman, Pakistan, Tajikistan, Turkey, Turkmenistan, Uzbekistan"
23,Dahl's Jird,Endangered Mammals of the Middle East,Meriones dahli,NA,Mammals,EN-IUCN: 2008,"Armenia, Turkey"
24,Dhole,Endangered Mammals of the Middle East,Cuon alpinus,"Asiatic Wild Dog, Indian Dog, Red Dog, Whistling Hunter",Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008","Asia, Middle East"
25,Dorcas Gazelle,Endangered Mammals of the Middle East,Gazella dorcas,"3 subspecies endangered: Saudi Arabian Gazelle (Gazella dorcas saudiya), Pelzeln's Gazelle (Gazella dorcas pelzelni), Moroccan Gazelle (Gazella dorcas massaesyla)",Mammals,"EN-US FWS: G. d. saudiya - June 25, 1979, G. d. pelzelni - June 25, 1979, G. d. massaesyla - June 2, 1970VU-IUCN: 2008","Algeria, Arabian Peninsula, Iraq, Israel, Jordan, Morocco, Somalia, Syria, Tunisia"
26,Dugong,Endangered Mammals of the Middle East,Dugong dugon,Sea Cow,Mammals,"EN-US FWS: December 2, 1970VU-IUCN: 2008",East Africa to Southern Japan
27,Euphrates Jerboa,Endangered Mammals of the Middle East,Allactaga euphratica,NA,Mammals,NT-IUCN: 2008,"Iran, Iraq, Jordan, Kuwait, Lebanon, Saudi Arabia, Syria, Turkey"
28,Eurasian Otter,Endangered Mammals of the Middle East,Lutra lutra,"Lutra nippon, Common Otter, European River Otter, Old World Otter",Mammals,NT-IUCN: 2008,"Africa, Asia, Europe, Middle East"
29,European Bison,Endangered Mammals of the Middle East,Bison bonasus,Wisent,Mammals,VU-IUCN: 2008,"Belarus, Kyrgyzstan, Lithuania, Poland, Romania, Russia, Slovakia, Ukraine"
30,European Ground Squirrel,Endangered Mammals of the Middle East,Spermophilus citellus,European Souslik,Mammals,VU-IUCN: 2008,"Asia, Europe, Middle East"
31,European Marbled Polecat,Endangered Mammals of the Middle East,Vormela peregusna,NA,Mammals,VU-IUCN: 2008,"Asia, Europe, Middle East"
32,Fallow Deer,Endangered Mammals of the Middle East,Dama mesopotamica,"Mesopotamian Fallow Deer, Persian Fallow Deer (D. d. mesopotamica) (US FWS)",Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2015","Iran, Israel"
33,Fishing Cat,Endangered Mammals of the Middle East,Prionailurus viverrinus,NA,Mammals,EN-IUCN: 2010,"Asia, Middle East"
34,Four-toed Jerboa,Endangered Mammals of the Middle East,Allactaga tetradactyla,NA,Mammals,VU-IUCN: 2008,"Egypt, Libya"
35,Ganges River Dolphin,Endangered Mammals of the Middle East,Platanista gangetica,"South Asian River Dolphin, Blind River Dolphin, Indus River Dolphin, Ganges Susu, Platanista gangetica minor, Platanista minor",Mammals,"EN-US FWS: January 14, 1991 (P. g. minor - US FWS)EN-IUCN: 2008","Bangladesh, India, Nepal, Pakistan"
